len,ttl,id(new),id(overlap),off(new),off(overlap),sum(new),sum(overlap),ICMP,IGMP,TCP,UDP
448.8871405,127.7243625,1,0,0.001085187,0.998914813,0.943027672,0.056972328,0,0,0.97287032,0.02712968
928.4608567,128,0.750369276,0.249630724,0.00295421,0.99704579,0.666174298,0.333825702,0,0,1,0
613.9546392,128,1,0,0.002061856,0.997938144,0.982474227,0.017525773,0,0,0.941237113,0.058762887
663.2723493,128,1,0,0.001386001,0.998613999,0.911988912,0.088011088,0,0,0.958419958,0.041580042
481.1359094,128,1,0,0.001332445,0.998667555,0.502331779,0.497668221,0,0,0.988007995,0.011992005
281.6508876,105.5798817,1,0,0.01183432,0.98816568,0.99408284,0.00591716,0,0,0.98816568,0.01183432
960.7102439,128,1,0,0.00097561,0.99902439,0.990243902,0.009756098,0,0,0.995121951,0.004878049
490.8235294,128,1,0,0.016806723,0.983193277,1,0,0,0,1,0
915.6755556,128.2822222,1,0,0.004444444,0.995555556,0.706666667,0.293333333,0,0,0.98,0.02
1073.982839,128,1,0,0.000780031,0.999219969,0.673556942,0.326443058,0,0,1,0
761.0253165,128,1,0,0.004219409,0.995780591,0.571729958,0.428270042,0,0,0.824894515,0.175105485
897.6969231,128,1,0,0.003076923,0.996923077,0.915384615,0.084615385,0,0,1,0
604.6021127,128,1,0,0.007042254,0.992957746,0.964788732,0.035211268,0,0,1,0
726.0987805,118.3310976,0.961887477,0.030248034,0.001209921,0.99092559,0.953418028,0.038717483,0,0.004839685,0.952208106,0.035087719
751.4976852,128,1,0,0.00462963,0.99537037,0.993055556,0.006944444,0,0,0.986111111,0.013888889
788.290411,128,1,0,0.005479452,0.994520548,0.967123288,0.032876712,0,0,1,0
724.3526399,128,0.992907801,0.007092199,0.000788022,0.999211978,0.986997636,0.013002364,0,0,0.994483846,0.005516154
595.6699301,112.3846154,0.901933702,0.085635359,0.002762431,0.98480663,0.895027624,0.092541436,0,0.011049724,0.813535912,0.162983425
896.740634,128,1,0,0.005763689,0.994236311,0.65129683,0.34870317,0,0,1,0
830.0904523,128,1,0,0.010050251,0.989949749,0.567839196,0.432160804,0,0,1,0
886.2175489,128,1,0,0.001450326,0.998549674,0.978970268,0.021029732,0,0,0.995649021,0.004350979
885.8770571,128,1,0,0.001936108,0.998063892,0.976766699,0.023233301,0,0,0.994191675,0.005808325
875.5283019,128,1,0,0.012578616,0.987421384,0.987421384,0.012578616,0,0,1,0
687.5860806,128,1,0,0.001465201,0.998534799,0.940659341,0.059340659,0,0,0.994139194,0.005860806
167.5,102.6428571,0.857142857,0.142857143,0.142857143,0.857142857,0.857142857,0.142857143,0,0,0.714285714,0.285714286
543.8764759,128,1,0,0.000908265,0.999091735,0.934604905,0.065395095,0,0,0.969118983,0.030881017
552.5677676,127.9797851,1,0,0.000159172,0.999840828,0.895423796,0.104576204,0,0,0.949860724,0.050139276
613.4094626,128,1,0,0.000584112,0.999415888,0.849007009,0.150992991,0,0,0.945093458,0.054906542
758.353222,128,1,0,0.002386635,0.997613365,0.57875895,0.42124105,0,0,1,0
158,95.5,0.916666667,0.083333333,0.166666667,0.833333333,0.916666667,0.083333333,0,0,0.833333333,0.166666667
439.059841,128,1,0,0.000935016,0.999064984,0.942028986,0.057971014,0,0,1,0
191.9503546,120.3238771,0.990543735,0.009456265,0.004728132,0.995271868,0.995271868,0.004728132,0.002364066,0,0,0.997635934
347.2293388,127.8250689,1,0,0.00137741,0.99862259,0.986914601,0.013085399,0,0.00137741,0.376721763,0.621900826
573.2947209,128,1,0,0.00075959,0.99924041,0.943030763,0.056969237,0,0,0.968856817,0.031143183
899.3129837,128,0.898538263,0.101461737,0.00171969,0.99828031,0.943250215,0.056749785,0,0,0.993121238,0.006878762
793.7654321,128,1,0,0.00617284,0.99382716,0.666666667,0.333333333,0,0,0.981481481,0.018518519
649.2550523,86.60418118,0.990953375,0.007654836,0.001391788,0.997216423,0.93249826,0.066109951,0,0,0.990953375,0.007654836
157.25,96.75,0.733333333,0.066666667,0.133333333,0.666666667,0.733333333,0.066666667,0,0,0.666666667,0.133333333
701.7466391,128,1,0,0.002068252,0.997931748,0.604963806,0.395036194,0,0,0.981385729,0.018614271
624.3229358,112.653211,0.935599284,0.039355993,0.003577818,0.97137746,0.932021467,0.04293381,0,0.01431127,0.885509839,0.075134168
500.5869018,128,1,0,0.005037783,0.994962217,0.56675063,0.43324937,0,0,0.652392947,0.347607053
800.0533333,52.12,0.853333333,0.146666667,0.013333333,0.986666667,0.84,0.16,0,0,1,0
157.6666667,98,0.733333333,0.066666667,0.133333333,0.666666667,0.733333333,0.066666667,0,0,0.666666667,0.133333333
766.010395,128,1,0,0.004158004,0.995841996,0.906444906,0.093555094,0,0,0.979209979,0.020790021
531.6764706,128,1,0,0.011764706,0.988235294,0.505882353,0.494117647,0,0,0.847058824,0.152941176
157.25,96.75,0.916666667,0.083333333,0.166666667,0.833333333,0.916666667,0.083333333,0,0,0.833333333,0.166666667
143.1395349,128,0.674418605,0.325581395,0.023255814,0.976744186,1,0,0,0,1,0
1025.176086,128,1,0,0.000653381,0.999346619,0.704018295,0.295981705,0,0,1,0
372.6192893,127.0732868,1,0,0.000634518,0.999365482,0.853743655,0.146256345,0,0.007296954,0.940989848,0.051713198
803.7820844,128,1,0,0.001722653,0.998277347,0.942291128,0.057708872,0,0,0.982773471,0.017226529
784.5974026,128,1,0,0.005194805,0.994805195,0.979220779,0.020779221,0,0,1,0
95.90909091,102.5454545,0.714285714,0.071428571,0.142857143,0.642857143,0.714285714,0.071428571,0,0,0.428571429,0.357142857
1005.052356,128,1,0,0.003490401,0.996509599,0.680628272,0.319371728,0,0,1,0
647.4848485,91.58677686,0.585399449,0.414600551,0.002754821,0.997245179,0.954545455,0.045454545,0,0,0.950413223,0.049586777
96.45454545,102.5454545,0.909090909,0.090909091,0.181818182,0.818181818,0.909090909,0.090909091,0,0,0.545454545,0.454545455
749.6572327,128,1,0,0.006289308,0.993710692,0.622641509,0.377358491,0,0,0.962264151,0.037735849
548.6666667,128,1,0,0.028985507,0.971014493,0.971014493,0.028985507,0,0,1,0
940.6978085,128,0.998846597,0.001153403,0.002306805,0.997693195,0.972318339,0.027681661,0,0,1,0
1069.484131,128.1279597,1,0,0.001007557,0.998992443,0.975314861,0.024685139,0,0,0.984382872,0.015617128
699.2869565,86.85217391,0.956521739,0.043478261,0.008695652,0.991304348,0.960869565,0.039130435,0,0,0.956521739,0.043478261
882.9488017,128,1,0,0.002178649,0.997821351,0.930283224,0.069716776,0,0,0.993464052,0.006535948
742.825784,128,1,0,0.00174216,0.99825784,0.913763066,0.086236934,0,0,0.991289199,0.008710801
525.216092,111.4609195,0.909194098,0.078320091,0.002270148,0.985244041,0.892167991,0.095346198,0,0.00908059,0.837684449,0.140749149
582.7625899,116.7438849,0.904829545,0.082386364,0.002840909,0.984375,0.880681818,0.106534091,0,0.011363636,0.808238636,0.167613636
535.7907692,128,1,0,0.006153846,0.993846154,0.996923077,0.003076923,0,0,0.975384615,0.024615385
605.9499285,108.8125894,0.945147679,0.037974684,0.00281294,0.980309423,0.935302391,0.047819972,0,0.011251758,0.905766526,0.066104079
401.8875358,128,1,0,0.001432665,0.998567335,0.945558739,0.054441261,0,0,1,0
771.9461312,128,0.997061704,0.002938296,0.001958864,0.998041136,0.953966699,0.046033301,0,0,0.962781587,0.037218413
760.6934307,128,1,0,0.000973236,0.999026764,0.901216545,0.098783455,0,0,0.98540146,0.01459854
747.3953488,128,1,0,0.003322259,0.996677741,0.596345515,0.403654485,0,0,1,0
941.5017123,128,1,0,0.001141553,0.998858447,0.944634703,0.055365297,0,0,1,0
884.3411765,128,1,0,0.002352941,0.997647059,0.936470588,0.063529412,0,0,0.992941176,0.007058824
846.2661349,128,1,0,0.001450326,0.998549674,0.953589558,0.046410442,0,0,0.985496737,0.014503263
718.3371406,128,1,0,0.000787712,0.999212288,0.954312722,0.045687278,0,0,0.984245766,0.015754234
53.65789474,112.8947368,1,0,0.052631579,0.947368421,1,0,0,0,0.789473684,0.210526316
482.0719101,91.88057785,0.564365971,0.435634029,0.000642055,0.999357945,0.820224719,0.179775281,0,0,0.994221509,0.005778491
943.9285714,128,1,0,0.001242236,0.998757764,0.877639752,0.122360248,0,0,1,0
